id,label
8901,Kieron Gillen
710,Joe Hill
711,Joshua Ortega
712,Seth Fisher
713,Ryan Sook
715,Petar Bridges
716,Drew Johnson
717,Cully Hamner
718,Marc Sumerak
720,Pia Guerra
721,Brian Reed
722,Jason Miller
724,Alberto Dose
726,Tom Beland
8924,Lauren Sankovitch
733,Adam Dekraker
8926,Laurie Smith
735,Travel Foreman
736,Jai Nitz
734,Lee Barnett
8930,Lea Hernandez
739,Lee M. Ferguson
741,Alex Sanchez
8933,Lee Garbett
743,Paul Di Filippo
745,Yvel Guichet
748,David Hahn
750,David Aja
751,Christopher Long
753,John Lucas
757,Clay Mann
758,Leinil Francis Yu
8950,Lucio Parrillo
762,Gary Erskine
764,Bart Sears
766,Robert Hunter
770,Chris Brunner
774,Morry Hollowell
775,Jim Muniz
8969,MK - Darick Robertson
778,Valentine De Landro
780,Kevin Maguire
782,Allan Jacobsen
784,Kevin Lau
785,Jim Mullaney
786,Ricardo Mays
789,David Yardin
791,Tom Orzechowski
792,Joseph Dodd
796,John Layman
8991,Lee Weeks
799,Joss Whedon
801,Craig Kyle
802,Jaime Mendoza
800,Brad Vancata
804,Duncan Rouleau
805,Mike Norton
807,Comicraft
808,Howard Chaykin
810,Hans Rodionoff
811,Richard K. Morgan
814,Pablo Raimondi
816,Shin Nagasawa
820,Leonard Kirk
823,Federica Manfredi
824,Jeff Parker
9018,Mahmud Asrar
827,Carmine DI Giandomenico
829,Jay Faerber
831,Steve Niles
833,Justin Gray
835,Joe Lansdale
836,Byron Penaranda
838,Jamie Tolagson
9031,Marcio Takara
840,Adam Warren
9033,Marco Santucci
9034,Marco Turini
9035,Marcos Marz
9038,Marcus to
848,Peter Johnson
849,Matt Cherniss
9042,Maria-Emiko Macuaga
851,John Higgins
9046,Mario Alberti
9047,Marjorie Liu
854,Oclair Albert
857,Koi Turnbull
859,Karl Zinsmeister
866,Chris Gossett
867,Cory Walker
869,Phil Hester
870,Ande Parks
871,Andy Kuhn
872,Marte Gracia
873,Lou Kang
874,Pop Mahn
877,Cliff Rathburn
9071,Mary Kea Huckabee
9072,Mary Mitchell
879,Shaenon Garrity
882,Marat Mychaels
881,Brandon Thomas
9077,Matt Haley
887,Ronald Byrd
888,Michael Hoskin
9081,Matteo Lolli
890,Daniel Knauf
891,Charles Knauf
9084,Matthew Marsilia
892,Chris Weston
894,Marcos Martin
9086,Matthew Smith
896,Stuart Vandal
9089,Max Fiumara
897,Sean Mcquaid
9090,Max Frezzato
900,Barry Reese
898,Bill Lentz
899,Mark OEnglish
903,Anthony Flamini
902,Jeff Christiansen
9096,Michael Cho
906,Mike Fichera
905,Al Sjoerdsma
904,Chris Biggs
9094,Metropolis Comics
9103,Michael Eury
913,Francis Portela
914,John Stanisci
918,Ty Templeton
921,Kitty Fross
923,Erica David
9117,Michael Zagari
925,Cameron Stewart
926,Cory Hamscher
928,Andy Smith
930,Richard Green
9123,Miguel Angel Sepulveda
933,Tom Peyer
934,Mike Manley
935,Todd Nauck
9127,Mike Benson
937,Renato Arlem
9130,Mike Conroy
9131,Mike Duffin
940,Roy Allan Martinez
941,Rick Burchett
942,Mike Hawthorne
9137,Michael Mckone
946,Jim Shooter - Duplicate
947,Joe Simon
945,Larry Lieber
949,Alex Schomburg
950,Ed Herron
9145,Mile High Comics
9146,Milo Manara
954,Gerry Conway
955,Mike Ploog
957,Val Mayerik
958,Roger Stern
959,Tom Sutton
960,Sal Velluto
956,Werner Roth
962,Stan Goldberg
961,Ben Thompson
964,Don Perlin
965,Ed Hannigan
9155,Molly Crabapple
967,Len Wein
968,Frank Robbins
969,Mitch Breitweiser
970,Dennis Calero
974,Jeff Eckleberry
975,David a. Williams
9175,Neil Hansen
9177,Neil Vokes
986,Tom Derenick
987,Matt Wagner
9183,Nicholas Gurewitch
9184,Nicholas Pitarra
9190,Nick Derington
1000,John Burns
1001,Brendan Cahill
1003,William Rosado
1004,Daniel Acuna
1005,Carlos Magno
9199,Norm Dwyer
9200,Nuno Plati
9201,Nunzio Defilippis
1010,Arnold Pander
1011,Russ Braun
1009,Tom Sniegoski
1014,Rick Veitch
9207,Oscar Jimenez
1016,Eduardo Francisco
1015,Charlie Huston
1017,Eric Canete
9208,Pacific Rim Graphics
1018,Rafa Garres
1021,Doug Alexander
1019,Derec Donovan
1020,Fabrizio Fiorentino
9213,Pasquale Qualano
1026,Tyler Kirkham
9220,Patrick Spaziante
9222,Paul Acerios
9224,Paul Davidson
9226,Paul Grist
1034,Colleen Doran
1035,Khari Evans
1040,Jay Anacleto
1041,Andy Diggle
9233,Paul Renaud
9234,Paul Rivoche
1048,Luna Brothers
1052,Mike Choi
1054,Juan Doe
1057,Arthur Suydam
9250,Peter Ferguson
1059,Lisa Kirby
1060,Steve Robertson
1061,Mike Thibodeaux
1063,Frazer Irving
1064,Nick Dragotta
1066,Tom Smith
1067,Madison Carter
1068,Brian Denham
1069,Damon Lindelof
1072,Chad Anderson
1074,Eduardo Barreto
9266,Phillip Bond
9272,Piotr Cieslinski
1081,Tania Del Rio
1082,Ariel Olivetti
1084,Tim Fish
9277,R. a. Jones
1086,Robert Fleming
9278,R. Kikuo Johnson
1087,Kirsten Sinclair
1089,Sol Brodsky
1092,Paul Cornell
9286,Ramon Rosanas
1095,Rich Margopoulos
1096,Eric Wight
1098,Doug Alexander Gregory
1103,Khoi Pham
9296,Ray-Anthony Height
1106,Gregory Titus
1107,Dan Abnett
9301,Rebecca Higgins O'Dell
1113,Sana Takeda
1114,Claire Wendling
9307,Rian Hughes
1117,Javier Rodriguez
1120,Tamora Pierce
1121,Timothy Liebe
1122,Philippe Briones
1123,Pascal Alixe
9317,Richard Elson
1126,Juan Santa Cruz
1125,Shannon Gallant
9320,Richard Muchin
1129,Yanick Paquette
1132,Matt Fraction
1133,Stefano Caselli
9325,Rick Spears
1136,Billy Tucci
1137,Al Rio
9328,Rick Zombo
1139,Alexander Irvine
1140,Chris Giarrusso
1141,Giuseppe Camuncoli
1144,Scott Gray
1145,Jeremy Haun
9337,Rob London
1148,Brett Booth
1149,Laurell K. Hamilton
1150,Stacie M. Ritchie
1151,Roland Bernard Brown
9344,Robert Atkins
1153,Miguel Montenegro
1154,Raymond E. Feist
1156,Ryan Stegman
1161,George Perez
1162,Terry Kavanagh
1163,Tom Lyle
1164,Alex Saviuk
9355,Robert Sodaro
9357,Robert Vendetti
1167,Ross Andru
1168,All Thumbs Creative
9360,Roberto Castro
1169,William Messnerloebs
1172,Tony Dezuniga
9364,Rod Reis
9366,Rodolfo Damaggio
9367,Rodolfo Muraguchi
1176,Joe Kubert
1177,Tony Isabella
1178,Archie Goodwin
1179,George Evans
9371,Roland Boschi
1180,Wally Wood
1182,Sal Trapani
1181,Mike Sekowsky
9368,Roger Bonet
1185,Pat Broderick
1183,George Tuska
1184,Arvell Jones
1188,Jamal Igle
1186,Jack Abel
9377,Romano Molenaar
9378,Rommel Alama
1192,Ian Churchill
1193,Joe Pruett
1189,Ryan Odagawa
1194,Robert Weinberg
1196,Roger Mckenzie
1190,Dax Gordine
1201,Louise Ann Gikow
9393,Salgood Sam
1207,Bill Jaaska
8381,Digikore Studios Ltd.
1209,Gary Friedrich
